,c,h,l,o,s,t,v
0,88.769996643066,90.449996948242,88.180000305176,90.449996948242,ok,1546387200,981055
1,89.120002746582,90.459999084473,88.650001525879,88.650001525879,ok,1546473600,1241359
2,89.790000915527,90.050003051758,88.0,88.73999786377,ok,1546560000,952311
3,88.839996337891,90.059997558594,88.629997253418,89.48999786377,ok,1546819200,724708
4,90.139999389648,90.269996643066,88.98999786377,89.01000213623,ok,1546905600,688156
5,88.98999786377,90.470001220703,88.819999694824,90.0,ok,1546992000,1131624
6,90.76000213623,90.900001525879,89.0,89.309997558594,ok,1547078400,806001
7,90.639999389648,91.099998474121,90.190002441406,90.940002441406,ok,1547164800,723481
8,90.430000305176,90.459999084473,89.51000213623,90.279998779297,ok,1547424000,1573675
9,91.419998168945,92.569999694824,90.330001831055,90.330001831055,ok,1547510400,1064919
10,91.790000915527,92.099998474121,90.709999084473,91.129997253418,ok,1547596800,752726
11,92.559997558594,92.930000305176,91.540000915527,91.540000915527,ok,1547683200,829772
12,92.610000610352,93.300003051758,92.199996948242,92.849998474121,ok,1547769600,801271
13,92.769996643066,93.319999694824,92.059997558594,92.419998168945,ok,1548115200,1284257
14,94.23999786377,94.319999694824,92.699996948242,92.699996948242,ok,1548201600,713996
15,94.639999389648,94.809997558594,93.519996643066,94.379997253418,ok,1548288000,499309
16,93.269996643066,94.830001831055,93.099998474121,94.160003662109,ok,1548374400,838456
17,93.019996643066,93.669998168945,92.360000610352,93.339996337891,ok,1548633600,529845
18,93.080001831055,94.069999694824,92.650001525879,93.199996948242,ok,1548720000,762941
19,93.73999786377,94.650001525879,92.930000305176,92.949996948242,ok,1548806400,1216476
20,95.669998168945,96.139999389648,93.440002441406,94.019996643066,ok,1548892800,2127195
21,95.209999084473,96.0,94.339996337891,95.720001220703,ok,1548979200,1213850
